TAXON_ORDER,CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,SCI_NAME,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS
244,slash,y00469,Snow/Ross's Goose,Anser caerulescens/rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,y00469
245,species,gragoo,Graylag Goose,Anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gragoo
246,issf,gragoo2,Graylag Goose (European),Anser anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gragoo
247,issf,gragoo3,Graylag Goose (Siberian),Anser anser rubrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gragoo
248,domestic,gragoo1,Graylag Goose (Domestic type),Anser anser (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gragoo1
249,species,swagoo1,Swan Goose,Anser cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,swagoo1
250,domestic,swagoo2,Swan Goose (Domestic type),Anser cygnoides (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,swagoo2
251,hybrid,x00776,Graylag x Swan Goose (Domestic type) (hybrid),Anser anser x cygnoides (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00776
252,species,gwfgoo,Greater White-fronted Goose,Anser albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gwfgoo
253,issf,gwfgoo1,Greater White-fronted Goose (Greenland),Anser albifrons flavirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gwfgoo
254,issf,gwfgoo4,Greater White-fronted Goose (Eurasian),Anser albifrons albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gwfgoo
255,issf,gwfgoo2,Greater White-fronted Goose (Western),Anser albifrons gambelli/sponsa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gwfgoo
258,issf,gwfgoo3,Greater White-fronted Goose (Tule),Anser albifrons elgasi,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gwfgoo
259,hybrid,x00755,Bar-headed x Greater White-fronted Goose (hybrid),Anser indicus x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00755
260,hybrid,x00627,Snow x Greater White-fronted Goose (hybrid),Anser caerulescens x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00627
261,species,lwfgoo,Lesser White-fronted Goose,Anser erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,lwfgoo
262,slash,y00707,Greater/Lesser White-fronted Goose,Anser albifrons/erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,y00707
263,species,taibeg1,Taiga Bean-Goose,Anser fabalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,taibeg1
267,species,tunbeg1,Tundra Bean-Goose,Anser serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,tunbeg1
270,slash,y00468,Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,y00468
271,species,pifgoo,Pink-footed Goose,Anser brachyrhynchus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,pifgoo
272,domestic,domgoo1,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,domgoo1
273,spuh,anser1,Anser sp.,Anser sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,anser1
274,species,brant,Brant,Branta bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,brant
275,issf,dabbra1,Brant (Dark-bellied),Branta bernicla bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,brant
276,issf,atlbra1,Brant (Atlantic),Branta bernicla hrota,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,brant
277,issf,blkbra1,Brant (Black),Branta bernicla nigricans,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,brant
278,form,gybbra1,Brant (Gray-bellied),Branta bernicla (Gray-bellied),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,brant
279,intergrade,brant1,Brant (Atlantic x Black),Branta bernicla hrota x nigricans,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,brant
280,hybrid,x00685,Snow Goose x Brant (hybrid),Anser caerulescens x Branta bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00685
281,species,bargoo,Barnacle Goose,Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,bargoo
282,hybrid,x00756,Pink-footed x Barnacle Goose (hybrid),Anser brachyrhynchus x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00756
283,hybrid,x00757,Greater White-fronted x Barnacle Goose (hybrid),Anser albifrons x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00757
284,hybrid,x00649,Graylag x Barnacle Goose (hybrid),Anser anser x Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00649
285,species,cacgoo1,Cackling Goose,Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cacgoo1
286,issf,alcgoo1,Cackling Goose (Aleutian),Branta hutchinsii leucopareia,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cacgoo1
287,issf,ricgoo1,Cackling Goose (Richardson's),Branta hutchinsii hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cacgoo1
288,issf,cacgoo2,Cackling Goose (minima),Branta hutchinsii minima,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cacgoo1
289,issf,tacgoo1,Cackling Goose (Taverner's),Branta hutchinsii taverneri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cacgoo1
290,hybrid,x00831,Emperor x Cackling Goose (hybrid),Anser canagicus x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00831
291,hybrid,x00692,Snow x Cackling Goose (hybrid),Anser caerulescens x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00692
292,hybrid,x00694,Ross's x Cackling Goose (hybrid),Anser rossii x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00694
293,hybrid,x00722,Brant x Cackling Goose (hybrid),Branta bernicla x hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00722
294,hybrid,x00414,Greater White-fronted x Cackling Goose (hybrid),Anser albifrons x Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00414
295,hybrid,x00416,Barnacle x Cackling Goose (hybrid),Branta leucopsis x hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00416
296,species,cangoo,Canada Goose,Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cangoo
297,issf,cangoo4,Canada Goose (moffitti/maxima),Branta canadensis moffitti/maxima,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cangoo
300,issf,cangoo3,Canada Goose (occidentalis/fulva),Branta canadensis occidentalis/fulva,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cangoo
303,issf,cangoo1,Canada Goose (canadensis Group),Branta canadensis [canadensis Group],Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cangoo
307,hybrid,x00908,Bar-headed x Canada Goose (hybrid),Anser indicus x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00908
308,hybrid,swagoo3,Swan Goose (Domestic type) x Canada Goose (hybrid),Anser cygnoides (Domestic type) x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,swagoo3
309,hybrid,x00650,Pink-footed x Canada Goose (hybrid),Anser brachyrhynchus x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00650
310,hybrid,x00415,Greater White-fronted x Canada Goose (hybrid),Anser albifrons x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00415
311,hybrid,x00758,Graylag x Canada Goose (hybrid),Anser anser x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00758
312,hybrid,gragoo4,Graylag Goose (Domestic type) x Canada Goose (hybrid),Anser anser (Domestic type) x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,gragoo4
313,hybrid,x00759,Domestic goose sp. (Domestic type) x Canada Goose (hybrid),Anser sp. (Domestic type) x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00759
314,hybrid,x00197,Snow x Canada Goose (hybrid),Anser caerulescens x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00197
315,hybrid,x00693,Ross's x Canada Goose (hybrid),Anser rossii x Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00693
316,hybrid,x00417,Barnacle x Canada Goose (hybrid),Branta leucopsis x canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00417
317,slash,y00470,Cackling/Canada Goose,Branta hutchinsii/canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,y00470
318,hybrid,y00765,Snow/Ross's x Cackling/Canada Goose (hybrid),Anser caerulescens/rossii x Branta hutchinsii/canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,y00765
319,species,hawgoo,Hawaiian Goose,Branta sandvicensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,hawgoo
320,species,rebgoo1,Red-breasted Goose,Branta ruficollis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,rebgoo1
321,spuh,branta1,Branta sp.,Branta sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,branta1
322,spuh,goose1,goose sp.,Anser/Branta sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,goose1
323,species,cabgoo1,Cape Barren Goose,Cereopsis novaehollandiae,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cabgoo1
326,species,freduc1,Freckled Duck,Stictonetta naevosa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,freduc1
327,species,buwgoo1,Blue-winged Goose,Cyanochen cyanoptera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,buwgoo1
328,species,mutswa,Mute Swan,Cygnus olor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,mutswa
329,species,blkswa,Black Swan,Cygnus atratus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,blkswa
330,species,blnswa2,Black-necked Swan,Cygnus melancoryphus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,blnswa2
331,species,truswa,Trumpeter Swan,Cygnus buccinator,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,truswa
332,hybrid,x00832,Mute x Trumpeter Swan (hybrid),Cygnus olor x buccinator,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00832
333,species,tunswa,Tundra Swan,Cygnus columbianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,tunswa
334,issf,tunswa1,Tundra Swan (Whistling),Cygnus columbianus columbianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,tunswa
335,issf,bewswa1,Tundra Swan (Bewick's),Cygnus columbianus bewickii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,tunswa
336,intergrade,tunswa2,Tundra Swan (Whistling x Bewick's),Cygnus columbianus columbianus x bewickii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,tunswa
337,hybrid,x00418,Trumpeter x Tundra Swan (hybrid),Cygnus buccinator x columbianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00418
338,slash,y00471,Trumpeter/Tundra Swan,Cygnus buccinator/columbianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,y00471
339,species,whoswa,Whooper Swan,Cygnus cygnus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,whoswa
340,hybrid,x00419,Trumpeter x Whooper Swan (hybrid),Cygnus buccinator x cygnus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,x00419
341,slash,y00708,Tundra/Whooper Swan,Cygnus columbianus/cygnus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,y00708
342,spuh,swan1,swan sp.,Cygnus sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,swan1
343,species,cosswa1,Coscoroba Swan,Coscoroba coscoroba,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,cosswa1
344,species,comduc2,Knob-billed Duck,Sarkidiornis melanotos,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,comduc2
345,species,comduc3,Comb Duck,Sarkidiornis sylvicola,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,comduc3
346,species,harduc1,Hartlaub's Duck,Pteronetta hartlaubii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,harduc1
347,species,origoo1,Orinoco Goose,Oressochen jubatus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,origoo1
348,species,andgoo1,Andean Goose,Oressochen melanopterus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,andgoo1
349,species,uplgoo1,Upland Goose,Chloephaga picta,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,uplgoo1
352,form,uplgoo2,Upland Goose (White-breasted),Chloephaga picta (White-breasted),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,uplgoo1
353,form,uplgoo3,Upland Goose (Bar-breasted),Chloephaga picta (Bar-breasted),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",,uplgoo1
